Nome Completo do Arquivo, Nome do Jogo, Tamanho, CRC, MD5, SHA1
Combat ~ Tank-Plus (USA).zip, Combat ~ Tank-Plus, 1941, 68E74F69, 9506a5bf9a03a6531fb43dd098539167, 501bfe1e49094f27a6b1911b74227fd83d024218
Commando (USA).zip, Commando, 5961, 69EA46DD, a089f419e265fe41cdf130a20fd0dd9e, 31fbb69d79de90d8c9f611c6e949bca41f4e29a5
Commando Raid (USA).zip, Commando Raid, 3205, 4927C98E, d3f4c4f174a587a24c85de83ba3ed44d, a130d8c8f04c1f4feac61dca400c8cd9458fb3bd
Communist Mutants from Space (USA).zip, Communist Mutants from Space, 4993, B9A555CC, 4e40a3644b2ee99f6a8f1912651bb971, 0085a836d4b6b8740623f7ea97fcf4d4392a19be
Computer Chess (USA) (Proto).zip, Computer Chess, 3285, 2B3D9306, 4b3c482dae911785f1a1f63aff75e788, 7260730b7e90a909dcdf3b76eadfd1707cb7339f
Condor Attack (USA).zip, Condor Attack, 3083, 013ACEA8, 5e0d66eaa953d44a3520fd54339d6931, d19d7cd34708c6901aa55a0f91ba2b89405e33b5
Confrontation (USA) (Proto).zip, Confrontation, 3177, 2F7E6BA8, 1c54156fe9282fb597e55e4260d66e2e, aa573d4808f45d883ee3683e8c136cc7d0442553
Congo Bongo (USA).zip, Congo Bongo, 6058, 710E117C, 2a889471bac6ec350b794757ba38386b, 4802810ea03adc96e84ebc03f040d8ecf58e12f1
Cookie Monster Munch (USA).zip, Cookie Monster Munch, 5515, 7276ED80, d17c94e52e94680aff04a3697613ddf9, e09ce84d912da9cc305d2f6dc53fcda598c63c3d
Cosmic Ark (USA).zip, Cosmic Ark, 3304, 6E9586F2, e9bfed22b1b636b65ebc75a7d2cf53e2, 06f80757040fb3003216aff89fdc7d4bbfa5a806
Cosmic Commuter (USA).zip, Cosmic Commuter, 3448, 00363716, fe61f17e4e97183bf036aa748616bdc8, 447eddba27a3bfca526e2cd3a969c7b47c5cf4a8
Cosmic Creeps (USA).zip, Cosmic Creeps, 2964, 71A559CB, 8c9cdb4ee4300f51b650de91cd6cec36, e05953f1e1b7490e40d369f41356c854f208425a
Cosmic Swarm (USA).zip, Cosmic Swarm, 1856, 3B8B0C1E, a5ba2bea305687c4bd9828d272088d6f, 4a264188f37548e3a03cc3ee4eabc6de7a3ddd77
Crack'ed (USA) (Proto).zip, Crack'ed, 7903, 93304199, 86eee88fe9a0ace413e6b9873dee4f9e, 3fdebfbc8f8f212cdec2964d6dfcd4b5e086b5f2
Crackpots (USA).zip, Crackpots, 3378, BC31EBA7, e3bc7ddcdda386da290a9197e4a0f8b9, b0296187ee1b5659de9a2abe0a12baba813c2d69
Crash Dive (USA).zip, Crash Dive, 3507, 6B666F4A, 550eecc9df7948ece569e7bab44f7f5e, 54e6ce1cc93f04c943d60c8c47239d10e8327119
Crazy Climber (USA).zip, Crazy Climber, 5690, E8D3C201, df896a03a5c214cb7621a529325121f3, 3378efaf0ee99c5bb74d597f57ad5fa20866b77b
Cross Force (USA).zip, Cross Force, 3231, 528F262E, 831b294d4067cd66c451a270e5fd257e, 5f3cacfe864484c9311bbfe344a8f87e36835978
Crossbow (USA).zip, Crossbow, 11053, F7266E55, 3d165149e284856c1b5bb1c7a0c103ef, 8752b87f6852cb0fdd38db19f9f5673e341112b9
Crypts of Chaos (USA).zip, Crypts of Chaos, 3370, D49EC4F7, 1c1027f14093ff7a57f37702d3c7e7f9, 2c226e6ce839c4cbfb41f42990f8038d6119b704
Crystal Castles (USA).zip, Crystal Castles, 9326, 316CF1E4, f68205b8c82ad7c099769e0384c03b09, 73ee60bc43de8a2649f51de5959adb4c497adfdc
Cubicolor (USA) (Proto).zip, Cubicolor, 3213, 9FE4A693, 8f11d27c9ec085df4dbabcc9f5c11244, 55a73193c62e3beb1234f3a42e8af4ae88d12457
